,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_layer_num,param_nb_hidden,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,3670.229033390681,12.306604036129485,0.3990742365519206,0.007481366428076929,3,50,"{'layer_num': 3, 'nb_hidden': 50}",0.7982258065285222,0.835702746365105,0.8399030694668821,0.8245963401763636,0.018740413781990494,15,1.0,1.0,1.0,1.0,0.0
1,3716.118677298228,22.889133657853915,0.4083995819091797,0.0033963483403875116,3,75,"{'layer_num': 3, 'nb_hidden': 75}",0.8087096773424456,0.837156704361874,0.8284329563812601,0.8247578040647559,0.011901947450099351,14,1.0,1.0,1.0,1.0,0.0
2,3776.178140004476,19.02036637500986,0.4157434304555257,0.006522838815088294,3,100,"{'layer_num': 3, 'nb_hidden': 100}",0.8138709677419355,0.8423263327370553,0.8423263327948304,0.8328310010571782,0.013417593135039438,4,1.0,1.0,1.0,1.0,0.0
3,3819.9722310702005,17.871086823540292,0.429363489151001,0.01193820041860779,3,125,"{'layer_num': 3, 'nb_hidden': 125}",0.8162903225806452,0.8449111470113085,0.8405492730210016,0.8339074273412271,0.012593695676000867,2,1.0,1.0,1.0,1.0,0.0
4,4085.9239399433136,23.692232343582955,0.44533514976501465,0.007855527376822734,4,50,"{'layer_num': 4, 'nb_hidden': 50}",0.807258064516129,0.8500807753864899,0.8172859450726979,0.8248654466976519,0.018286991224218153,13,1.0,1.0,1.0,1.0,0.0
5,4131.857173204422,17.053434867835726,0.45391591389973956,0.007997113050978125,4,75,"{'layer_num': 4, 'nb_hidden': 75}",0.7951612903225806,0.8384491114701131,0.8382875605815832,0.8239504843918192,0.02037357789378282,16,1.0,1.0,1.0,1.0,0.0
6,4194.243697802226,21.23133418590294,0.4693010648091634,0.004790567493137308,4,100,"{'layer_num': 4, 'nb_hidden': 100}",0.8064516129032258,0.8565428109854604,0.8340872374798062,0.8323466092572659,0.02048936202450641,5,1.0,1.0,1.0,1.0,0.0
7,4245.588550488154,19.113600727462973,0.4814637502034505,0.004876401060423907,4,125,"{'layer_num': 4, 'nb_hidden': 125}",0.8151612903225807,0.8458804523424879,0.8403877221324717,0.833799784714747,0.01337919976787612,3,1.0,1.0,1.0,1.0,0.0
8,4502.4608016808825,13.155830229266071,0.5072867075602213,0.0013009574402427422,5,50,"{'layer_num': 5, 'nb_hidden': 50}",0.798548387019865,0.8421647819063005,0.8366720516962843,0.8257804090163167,0.019401447605584418,12,1.0,1.0,1.0,1.0,0.0
9,4582.9776550928755,21.520385411919207,0.5220833619435629,0.00199723470295177,5,75,"{'layer_num': 5, 'nb_hidden': 75}",0.8083870968511028,0.8445880452342488,0.850080775444265,0.8343379978728115,0.01850119603587896,1,1.0,1.0,1.0,1.0,0.0
10,4648.157910823822,18.229044388660768,0.5342687765757242,0.009755707813563838,5,100,"{'layer_num': 5, 'nb_hidden': 100}",0.8070967741166392,0.8402261712439418,0.838610662358643,0.8286329386180389,0.015254919745105002,9,1.0,1.0,1.0,1.0,0.0
11,4709.393748919169,19.953328739925286,0.5393476486206055,0.004784044464441557,5,125,"{'layer_num': 5, 'nb_hidden': 125}",0.8058064516129032,0.8474959611700117,0.8374798061389338,0.8302475780216562,0.01777296875302738,7,1.0,1.0,1.0,1.0,0.0
12,4985.859171072642,22.21928023885266,0.5536428292592367,0.004775215579265254,6,50,"{'layer_num': 6, 'nb_hidden': 50}",0.8041935483870968,0.8390953149664575,0.8397415185783522,0.8276641549861341,0.016611719155701577,10,1.0,1.0,1.0,1.0,0.0
13,5056.506875991821,25.98594178327396,0.5810482501983643,0.006854022523887172,6,75,"{'layer_num': 6, 'nb_hidden': 75}",0.7959677419354839,0.842649434514115,0.8437802907915993,0.827448869733174,0.02228327315651129,11,1.0,1.0,1.0,1.0,0.0
14,5118.81198366483,30.86964105220034,0.5876862208048502,0.00428676568685362,6,100,"{'layer_num': 6, 'nb_hidden': 100}",0.8103225805682521,0.8489499191667806,0.8318255250403878,0.8303552206224722,0.01580586384880102,6,1.0,1.0,1.0,1.0,0.0
15,5178.250050624211,20.464502981363474,0.5927542845408121,0.007071783364019819,6,125,"{'layer_num': 6, 'nb_hidden': 125}",0.807741935483871,0.8447495960650035,0.8353796445880453,0.8292787943833354,0.01571361196776679,8,1.0,1.0,1.0,1.0,0.0
