,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bn,param_dropout,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,8727.83889055252,51.115665912628174,1.252569317817688,0.0028880834579467773,true,0.0,"{'bn': 'true', 'dropout': 0.0}",0.8123789020708739,0.7848223896663079,0.7986006458685909,0.013778256202283012,12,1.0,0.953821313240043,0.9769106566200215,0.023089343379978478
1,8868.079883933067,32.67185842990875,1.289597988128662,0.009888410568237305,true,0.1,"{'bn': 'true', 'dropout': 0.1}",0.8263724435004531,0.8173304628632939,0.8218514531818735,0.00452099031857961,3,0.9998923573735199,0.9876210979547901,0.993756727664155,0.006135629709364876
2,9013.728199958801,46.77470278739929,1.3482557535171509,0.025824904441833496,true,0.2,"{'bn': 'true', 'dropout': 0.2}",0.8176533907427341,0.7972012917115178,0.8074273412271259,0.010226049515608182,10,1.0,0.9860064585575888,0.9930032292787945,0.006996770721205581
3,9145.752807021141,29.99363100528717,1.401565670967102,0.004251837730407715,true,0.3,"{'bn': 'true', 'dropout': 0.3}",0.7709364908760408,0.8327233584499462,0.8018299246629934,0.0308934337869527,11,0.9751345532831001,1.0,0.98756727664155,0.01243272335844997
4,9286.382586836815,25.16840946674347,1.447409987449646,0.006261944770812988,true,0.4,"{'bn': 'true', 'dropout': 0.4}",0.8203444563919042,0.8263724434876211,0.8233584499397627,0.003013993547858418,1,1.0,0.9998923573735199,0.99994617868676,5.382131324005446e-05
5,9435.500300884247,30.608068466186523,1.4789928197860718,0.010302901268005371,true,0.5,"{'bn': 'true', 'dropout': 0.5}",0.825080731957028,0.8139935414424112,0.8195371366997196,0.005543595257308409,4,1.0,0.9813778256189452,0.9906889128094726,0.009311087190527423
6,4439.939939260483,4.4078452587127686,0.9277403354644775,0.0063018798828125,false,0.0,"{'bn': 'false', 'dropout': 0.0}",0.8093649085037675,0.8220667384284176,0.8157158234660926,0.006350914962325038,6,1.0,1.0,1.0,0.0
7,4477.805448412895,6.964112877845764,0.9449682235717773,0.016768455505371094,false,0.1,"{'bn': 'false', 'dropout': 0.1}",0.8093649084909355,0.8228202368137782,0.8160925726523569,0.006727664161421398,5,1.0,1.0,1.0,0.0
8,4527.0278116464615,10.952085852622986,0.9545204639434814,0.005973100662231445,false,0.2,"{'bn': 'false', 'dropout': 0.2}",0.8103336921292562,0.8085037674919268,0.8094187298105915,0.0009149623186647249,8,1.0,1.0,1.0,0.0
9,4576.982164144516,6.396913528442383,0.9664163589477539,0.011885881423950195,false,0.3,"{'bn': 'false', 'dropout': 0.3}",0.8139935414552432,0.8316469321851453,0.8228202368201942,0.008826695364951065,2,1.0,1.0,1.0,0.0
10,4631.695510864258,15.188146352767944,0.9863412380218506,0.009706974029541016,false,0.4,"{'bn': 'false', 'dropout': 0.4}",0.7955866523014845,0.8205597416576964,0.8080731969795905,0.012486544678105949,9,1.0,1.0,1.0,0.0
11,4674.19584274292,9.324861526489258,0.9910547733306885,0.004534482955932617,false,0.5,"{'bn': 'false', 'dropout': 0.5}",0.8050592034317321,0.8205597416576964,0.8128094725447143,0.0077502691129821555,7,1.0,1.0,1.0,0.0
